ItemId,Code,ProductGroupId,ProductGroup,ProductType
1233584,SC-CLOUD-GUESTDESK-RENEW,494326,Software and Licensing (Physical),Software
1233628,SC-CLOUD-KIOSK-RENEW,494326,Software and Licensing (Physical),Software
1234069,EMBEDANNUAL-1YR-RENEW,494326,Software and Licensing (Physical),Software
1238001,950-000084,163629,Video and Audio Conferencing,Hardware
1238027,952-000088,163629,Video and Audio Conferencing,Hardware
1251031,XR-C10,163531,Other Hardware,Materials
1251264,60005067,163433,"LCD Screens, Monitors and TVs",Hardware
1251313,PS65,163510,"Mounts, Trollies etc",Hardware
1251340,AP-H600,163510,"Mounts, Trollies etc",Hardware
1251418,60005064,163433,"LCD Screens, Monitors and TVs",Hardware
1251552,100015932,163601,"Digital Signage, Video Wall Components",Hardware
1251698,PR65D-4H,163433,"LCD Screens, Monitors and TVs",Hardware
1256718,LS425,163601,"Digital Signage, Video Wall Components",Hardware
1256747,SDHC-32C10-1(M),163531,Other Hardware,Materials
1258277,LH55QMCEBGCXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1258311,SM-T550,163321,Control System Interfaces,Hardware
1260867,20-3002-2036,163433,"LCD Screens, Monitors and TVs",Hardware
1265872,SCSERV-MUT,494326,Software and Licensing (Physical),Software
1266514,SCBOOK-SAAS,494326,Software and Licensing (Physical),Software
1266534,SCDSIG-SAAS,494326,Software and Licensing (Physical),Software
1266968,IDP-HOSTING,494326,Software and Licensing (Physical),Software
1272723,R4066-V-22-UK,163454,Lectern and Rack Accessories,Hardware
1285512,MJR-300X300,163573,Projection Screen Accessories,Hardware
1286958,LH75QMCEBGCXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1287035,LH43QMCEPGCXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1288441,24LN661H,163433,"LCD Screens, Monitors and TVs",Hardware
1292664,860-00111b,494326,Software and Licensing (Physical),Software
1293026,860-00125b,494326,Software and Licensing (Physical),Software
1293296,HX150-11-18G-SET,163356,Signal Distribution,Hardware
1293340,LH55OMBEBGBXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1353139,NUC8I7HNK3X,163601,"Digital Signage, Video Wall Components",Hardware
1370401,A10-015,163629,Video and Audio Conferencing,Hardware
1370483,WPP30,163531,Other Hardware,Materials
1388558,SCFLEX-SAAS,494326,Software and Licensing (Physical),Software
1389306,SC-DESKTAG,163608,"Digital Signage, Video Wall Accessories",Hardware
1389323,SC-HOLDER-DT,163531,Other Hardware,Materials
1389343,SC-TAG-ACCPOINT,163608,"Digital Signage, Video Wall Accessories",Hardware
1389426,SC-PS-IB-INT-SES,163608,"Digital Signage, Video Wall Accessories",Hardware
1389631,BT8423/B,163510,"Mounts, Trollies etc",Hardware
1401832,LVW06-48T,163510,"Mounts, Trollies etc",Hardware
1407445,FS42-8-8-BL,163454,Lectern and Rack Accessories,Hardware
1412160,DOCK182EUZ,163531,Other Hardware,Materials
1412193,50533,163531,Other Hardware,Materials
1412231,CA-U32/FF-10,163531,Other Hardware,Materials
1412309,960-001224,163629,Video and Audio Conferencing,Hardware
1412439,CLS-AOCH/UF-33,163531,Other Hardware,Materials
1440752,MR9F3QA/A,163531,Other Hardware,Materials
1440922,MNXU3B/A,163321,Control System Interfaces,Hardware
1440947,MJQK3B/A,163531,Other Hardware,Materials
1445747,DS-VW755S,163510,"Mounts, Trollies etc",Hardware
1450624,LH85QMCEBGCXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1454411,CSM-SENSOR-RENEWAL,494326,Software and Licensing (Physical),Software
1460796,USB-OFFLINE,163328,Control System Interface Accessories,Hardware
1465894,LH65QMCEBGCXEN,163433,"LCD Screens, Monitors and TVs",Hardware
1467361,RNUC11PAHI50Z00,163601,"Digital Signage, Video Wall Components",Hardware
1468556,55US662H3,163433,"LCD Screens, Monitors and TVs",Hardware
1471661,PLN-CIRC-1.9,163461,"LED Screens, Monitors and TVs",Hardware
1471661,PLN-CIRC-1.9,163468,"LED Screen, Monitor and TV Accessories",Hardware
1471715,PLN-CURV-1.9,163461,"LED Screens, Monitors and TVs",Hardware
1474524,CAB-ETH-5M-GR=,163531,Other Hardware,Materials
1474620,CAB-DV10-8M=,163531,Other Hardware,Materials
1474654,CS-POE-INJ=,163342,Control System Component Accessories,Hardware
1474700,CS-KIT-WMK=,163510,"Mounts, Trollies etc",Hardware
1474735,PWR-CORD-EUR-B,163531,Other Hardware,Materials
1474811,CS-KIT-SMK=,163510,"Mounts, Trollies etc",Hardware
1474846,PSU-12VDC-70W-GR=,163531,Other Hardware,Materials
1519619,RUT-200,163601,"Digital Signage, Video Wall Components",Hardware
1521585,7368150,163510,"Mounts, Trollies etc",Hardware
1522763,NUC12WSHI7,163601,"Digital Signage, Video Wall Components",Hardware
1523395,ULWIII-1.5,163601,"Digital Signage, Video Wall Components",Hardware
1523479,SSF5197-INU-M01,163461,"LED Screens, Monitors and TVs",Hardware
1523482,FFP-1.2,163601,"Digital Signage, Video Wall Components",Hardware
1523530,VX600,163601,"Digital Signage, Video Wall Components",Hardware
1523577,TB60,163601,"Digital Signage, Video Wall Components",Hardware
1523673,CLI1.5-FLEX,163433,"LCD Screens, Monitors and TVs",Hardware
1523705,GWN7660,163601,"Digital Signage, Video Wall Components",Hardware
1523906,MPT-M44UA,163510,"Mounts, Trollies etc",Hardware
1524324,AIRDROID-ANNUAL-1YR,446042,"Software & Licensing (One-Time, Activation, Etc)",Software
1528003,MCTRL600,163601,"Digital Signage, Video Wall Components",Hardware
1528049,SOLARIS-X1.2MM,163601,"Digital Signage, Video Wall Components",Hardware
1530521,SC-PACK-STAGING,163531,Other Hardware,Materials
1538149,SOLARIS-X5MM,163601,"Digital Signage, Video Wall Components",Hardware
1538191,MCTRL660,163601,"Digital Signage, Video Wall Components",Hardware
1538399,CONS-WLM2M,163482,Materials and Consumables,Materials
1538629,991-000423,163321,Control System Interfaces,Hardware
1539278,991-000389,163321,Control System Interfaces,Hardware
1539632,999080,163657,Warranties,Warranty
1539650,60005047,163433,"LCD Screens, Monitors and TVs",Hardware
1539679,102033-02,163307,Lecture Capure Devices,Hardware
1542069,60005069,163433,"LCD Screens, Monitors and TVs",Hardware
1542168,991-000401,163321,Control System Interfaces,Hardware
1542187,NV-21-PSU,163363,Signal Distribution Accessories,Hardware
1542206,NV-21-HU,163356,Signal Distribution,Hardware
1542225,AV-BFL,494326,Software and Licensing (Physical),Software
1542244,GST90A48-P1M,163363,Signal Distribution Accessories,Hardware
1542263,SL-MST-110-P,494326,Software and Licensing (Physical),Software
1542287,IPO-CPROBASESTATION-BK,163356,Signal Distribution,Hardware
1542306,IPO-CPROCASE-10-BK,163531,Other Hardware,Materials
1542335,IPO-CPRO-PoE-ADAPT,163363,Signal Distribution Accessories,Hardware
1542536,SL-MST-610-P,494326,Software and Licensing (Physical),Software
1542620,PT-REZ80BEJ,163545,Projectors,Hardware
1542639,MKT-265WS,163566,Projection Screens,Hardware
1542639,MKT-265WS,163573,Projection Screen Accessories,Hardware
1542668,392428G,163510,"Mounts, Trollies etc",Hardware
1542717,CLD001-CB,163384,Assisted Hearing Systems,Hardware
1545477,34WP550-B,163461,"LED Screens, Monitors and TVs",Hardware
1545557,MFCJ5740DWZU1,163531,Other Hardware,Materials
1559721,OW55D4,163601,"Digital Signage, Video Wall Components",Hardware
1568387,PLN-CIRC-1.5,163461,"LED Screens, Monitors and TVs",Hardware
1573665,BTV-520/B,163510,"Mounts, Trollies etc",Hardware
1583719,LTP-300W-4.6V,163531,Other Hardware,Materials
1585443,PLCC1/B3M,163531,Other Hardware,Materials
1586330,HB30A3A1CFB,163363,Signal Distribution Accessories,Hardware
1587425,7230-87720-102,163629,Video and Audio Conferencing,Hardware
1587468,7230-87680-102,163629,Video and Audio Conferencing,Hardware
1587517,487P-87720-160,494326,Software and Licensing (Physical),Software
1587522,PN-0155-XP,163601,"Digital Signage, Video Wall Components",Hardware
1587596,2200-85898-001,163510,"Mounts, Trollies etc",Hardware
1587627,7230-87710-102,163629,Video and Audio Conferencing,Hardware
1587856,487P-87710-160,494326,Software and Licensing (Physical),Software
1587963,R07 3M BLK,163531,Other Hardware,Materials
1603398,DI551ST2,163601,"Digital Signage, Video Wall Components",Hardware
1603642,064AUSB--CDS,163531,Other Hardware,Materials
1606507,9C428AW#ABU,163629,Video and Audio Conferencing,Hardware
1606914,P87720160,494326,Software and Licensing (Physical),Software
1607003,9C991AA,163629,Video and Audio Conferencing,Hardware
1607047,875S0AA,163510,"Mounts, Trollies etc",Hardware
1607103,P87710160,446042,"Software & Licensing (One-Time, Activation, Etc)",Software
1607158,P87710160+,494326,Software and Licensing (Physical),Software
1615920,LEDS-CURVUS600-1.25,163461,"LED Screens, Monitors and TVs",Hardware
1615972,AMX-UTP0801,163321,Control System Interfaces,Hardware
1621553,NT-1.5,163461,"LED Screens, Monitors and TVs",Hardware
1621803,PWR-CORD-GBR-B,163531,Other Hardware,Materials
1626745,22SM3B-B,163433,"LCD Screens, Monitors and TVs",Hardware
1627487,AV-LECTERN-05-DG,163454,Lectern and Rack Accessories,Hardware
1627504,TL-LOGO,163454,Lectern and Rack Accessories,Hardware
1629170,R1194/2UK-400,163454,Lectern and Rack Accessories,Hardware
1631952,AXC763-10000S,163531,Other Hardware,Materials
163721,LAB-IN-EN-FF,163475,Labour Charges - Installs,Labour
163734,LAB-IN-EN-SF,163475,Labour Charges - Installs,Labour
163747,LAB-IN-EN,163475,Labour Charges - Installs,Labour
163760,LAB-IN-RB,163475,Labour Charges - Installs,Labour
163773,LAB-IN-PROG,163475,Labour Charges - Installs,Labour
163786,LAB-IN-CFG,163475,Labour Charges - Installs,Labour
163799,LAB-IN-PM,163475,Labour Charges - Installs,Labour
163812,LAB-IN-TC,163475,Labour Charges - Installs,Labour
163825,LAB-IN-PM-CAD,163475,Labour Charges - Installs,Labour
163838,LAB-IN-PM-TR,163475,Labour Charges - Installs,Labour
163851,LAB-IN-DEC,163475,Labour Charges - Installs,Labour
163864,LAB-IN-CONTENT,163475,Labour Charges - Installs,Labour
163877,TRA-IN,163475,Labour Charges - Installs,Labour
163890,LAB-SER-EN,163594,Service Labour,Labour
163903,LAB-SER-CONTENT,163594,Service Labour,Labour
163916,LAB-SER-TR,163594,Service Labour,Labour
163929,MATS-IN,163482,Materials and Consumables,Materials
163942,MATS-IN-CP,163482,Materials and Consumables,Materials
163955,MATS-IN-MAN,163482,Materials and Consumables,Materials
163968,MATS-SER,163594,Service Labour,Labour
163981,DEL-IN,163349,Delivery Charges,Materials
163994,DEL-OUT,163349,Delivery Charges,Materials
164007,MA-AV,163685,Support & Maintenance Contracts,Contract
164020,CON-4G,163685,Support & Maintenance Contracts,Contract
164033,CON-SUP-REMOTE,163685,Support & Maintenance Contracts,Contract
164046,CON-SUP-ONSITE,163685,Support & Maintenance Contracts,Contract
164059,CON-ADV-REP,163685,Support & Maintenance Contracts,Contract
164072,CON-3G,163685,Support & Maintenance Contracts,Contract
164085,CON-HOSTING,163685,Support & Maintenance Contracts,Contract
164098,CON-CONTENT,163685,Support & Maintenance Contracts,Contract
164111,CON-TKT-UK24,163685,Support & Maintenance Contracts,Contract
164124,CON-TKT-INT8,163685,Support & Maintenance Contracts,Contract
164137,CON-TKT-UK4,163685,Support & Maintenance Contracts,Contract
164150,CON-TKT-HPD,163685,Support & Maintenance Contracts,Contract
164177,CON-BRIGHTSIGN,163685,Support & Maintenance Contracts,Contract
164190,12135087,163265,Amplifiers,Hardware
164204,3A-40W,163265,Amplifiers,Hardware
164218,60-1244-01,163265,Amplifiers,Hardware
164232,60-1501-01,163265,Amplifiers,Hardware
164246,60-1760-01,163265,Amplifiers,Hardware
164260,60-1760-12,163265,Amplifiers,Hardware
164274,60-1852-01,163265,Amplifiers,Hardware
164288,60-1863-01,163265,Amplifiers,Hardware
164302,60-563-02,163265,Amplifiers,Hardware
164316,60-844-03,163265,Amplifiers,Hardware
164330,60-849-01,163265,Amplifiers,Hardware
164344,60-850-11,163265,Amplifiers,Hardware
164358,60-883-12,163265,Amplifiers,Hardware
164372,813403-2310,163265,Amplifiers,Hardware
164386,910-3200-401,163265,Amplifiers,Hardware
164400,911.0443.900,163265,Amplifiers,Hardware
164414,913.0652.900,163265,Amplifiers,Hardware
164428,913.0653.900,163265,Amplifiers,Hardware
164442,AMP-2210T,163265,Amplifiers,Hardware
164456,AMP-450BP,163265,Amplifiers,Hardware
164470,AMP-X50MP,163265,Amplifiers,Hardware
164484,CAP224,163265,Amplifiers,Hardware
164498,CAP412,163265,Amplifiers,Hardware
164512,COM108,163265,Amplifiers,Hardware
164526,COM24-MKII,163265,Amplifiers,Hardware
164540,CT4150,163265,Amplifiers,Hardware
164554,CX-Q-2K4,163265,Amplifiers,Hardware
164568,CX-Q-4K8,163265,Amplifiers,Hardware
1645741,SAT/WBFLNB,163419,IPTV Accessories,Hardware
164582,CX-Q-8K8,163265,Amplifiers,Hardware
164596,DJM900,163265,Amplifiers,Hardware
1645984,MAT-NPRM,163419,IPTV Accessories,Hardware
1646033,FP75,163482,Materials and Consumables,Materials
1646059,FP50,163482,Materials and Consumables,Materials
164610,DN-200BR,163265,Amplifiers,Hardware
1646179,FCPC-SPLITTER,163419,IPTV Accessories,Hardware
164624,DN-500CB,163265,Amplifiers,Hardware
1646378,OTX-PSU,163482,Materials and Consumables,Materials
164638,DUECANALI-804-DSP+D,163265,Amplifiers,Hardware
1646515,WF100,163419,IPTV Accessories,Hardware
164652,eCA120HZ,163265,Amplifiers,Hardware
164666,eGPA2-150,163265,Amplifiers,Hardware
1646738,FOP-50,163419,IPTV Accessories,Hardware
1646774,FOP-75,163419,IPTV Accessories,Hardware
164680,eGPA4-150,163265,Amplifiers,Hardware
164694,eHSA2-500,163265,Amplifiers,Hardware
164708,eHSA4-500,163265,Amplifiers,Hardware
164722,eHSA4-60,163265,Amplifiers,Hardware
164736,eLPA2-350,163265,Amplifiers,Hardware
164750,eLPA2-950,163265,Amplifiers,Hardware
164764,GXD4,163265,Amplifiers,Hardware
164778,GXD8,163265,Amplifiers,Hardware
164792,I/O-8FLEX,163265,Amplifiers,Hardware
164806,IAC2X240,163265,Amplifiers,Hardware
164820,IMIX63,163265,Amplifiers,Hardware
164834,KA84,163265,Amplifiers,Hardware
164848,MEZZO-602-AD,163265,Amplifiers,Hardware
164862,MFA208,163265,Amplifiers,Hardware
164876,MFA216,163265,Amplifiers,Hardware
164890,MPA40V,163265,Amplifiers,Hardware
164904,MP-A40V,163265,Amplifiers,Hardware
164918,NXAMP4X1C,163265,Amplifiers,Hardware
164932,PA-120Z,163265,Amplifiers,Hardware
164946,PA-240NET,163265,Amplifiers,Hardware
164960,PA-240Z,163265,Amplifiers,Hardware
164974,PA-900,163265,Amplifiers,Hardware
164988,POWQ1204,163265,Amplifiers,Hardware
165002,QUATTROCANALI1204DSP+DANTE,163265,Amplifiers,Hardware
165016,QUATTROCANALI-2404-DSP+D,163265,Amplifiers,Hardware
165030,SDA40,163265,Amplifiers,Hardware
165044,SPA2-200,163265,Amplifiers,Hardware
165058,SPA2-60,163265,Amplifiers,Hardware
165072,SPA4-100,163265,Amplifiers,Hardware
165086,SPA4-60,163265,Amplifiers,Hardware
165100,TF5,163265,Amplifiers,Hardware
165114,VIA2004,163265,Amplifiers,Hardware
165128,VIA5002,163265,Amplifiers,Hardware
1651317,49UH5N-E,163433,"LCD Screens, Monitors and TVs",Hardware
165142,VR-50HDMK2,163265,Amplifiers,Hardware
165156,508484,163279,Other Audio Products,Hardware
165170,60-1811-01,163279,Other Audio Products,Hardware
165184,ADP-DAI-AU-0x2,163279,Other Audio Products,Hardware
1651886,MR9F3QA/A-SN,163335,Control System Components,Hardware
165198,ADP-DAI-AU-1X0,163279,Other Audio Products,Hardware
165212,ADP-DAO-AU-0X1,163279,Other Audio Products,Hardware
165226,ADP-DAO-AU-0X2,163279,Other Audio Products,Hardware
165240,ADP-USB- AU-2X2,163279,Other Audio Products,Hardware
165254,ATH-M50X,163279,Other Audio Products,Hardware
165268,AU-D1,163279,Other Audio Products,Hardware
165282,AXON-C1,163279,Other Audio Products,Hardware
165296,AXP2O,163279,Other Audio Products,Hardware
165310,AXPIO,163279,Other Audio Products,Hardware
165324,BT1,163279,Other Audio Products,Hardware
165338,CX263,163279,Other Audio Products,Hardware
165352,DATA-CAP1,163279,Other Audio Products,Hardware
165366,DATA-CAP2,163279,Other Audio Products,Hardware
1653689,16-11625,163531,Other Hardware,Materials
165380,DN-300R-MKII,163279,Other Audio Products,Hardware
1653931,CNS-USBC12B,163531,Other Hardware,Materials
165394,DX4.0,163279,Other Audio Products,Hardware
165408,HDL200,163279,Other Audio Products,Hardware
165422,MIX8,163279,Other Audio Products,Hardware
165436,MM-4D/IN-X,163279,Other Audio Products,Hardware
165450,MRB-L-SCX400-C,163279,Other Audio Products,Hardware
165464,NY64-D,163279,Other Audio Products,Hardware
165478,SL-DAN-16-P,163279,Other Audio Products,Hardware
165492,SL-DAN-8-P,163279,Other Audio Products,Hardware
165506,SLXD4D,163279,Other Audio Products,Hardware
165520,UC-SB1-CAM,163279,Other Audio Products,Hardware
165534,UND6IO-BT,163279,Other Audio Products,Hardware
165548,UVC-01,163279,Other Audio Products,Hardware
165562,WPNETTOUCH,163279,Other Audio Products,Hardware
165576,01145-001,163293,"Video Cameras, Webcams",Hardware
165590,01517-001,163293,"Video Cameras, Webcams",Hardware
165604,01604-001,163293,"Video Cameras, Webcams",Hardware
165618,01707-001,163293,"Video Cameras, Webcams",Hardware
165632,01716-001,163293,"Video Cameras, Webcams",Hardware
165646,01965-003,163293,"Video Cameras, Webcams",Hardware
165660,02022-003,163293,"Video Cameras, Webcams",Hardware
165674,0811-001,163293,"Video Cameras, Webcams",Hardware
165688,0879-010,163293,"Video Cameras, Webcams",Hardware
165702,11305-JABPAN,163293,"Video Cameras, Webcams",Hardware
165716,2200-87090-001,163293,"Video Cameras, Webcams",Hardware
165730,2IN-00002,163293,"Video Cameras, Webcams",Hardware
165744,2KOPTWC,163293,"Video Cameras, Webcams",Hardware
165758,5020-001,163293,"Video Cameras, Webcams",Hardware
165772,5WH-00002,163293,"Video Cameras, Webcams",Hardware
165786,61U3100000AC,163293,"Video Cameras, Webcams",Hardware
165800,61U3410000AF,163293,"Video Cameras, Webcams",Hardware
165814,61U3700000AC,163293,"Video Cameras, Webcams",Hardware
165828,61U9P10000AJ,163293,"Video Cameras, Webcams",Hardware
165842,8100-119,163293,"Video Cameras, Webcams",Hardware
165856,960-001076,163293,"Video Cameras, Webcams",Hardware
165870,960-001106,163293,"Video Cameras, Webcams",Hardware
165884,960-001186,163293,"Video Cameras, Webcams",Hardware
165898,960-001227,163293,"Video Cameras, Webcams",Hardware
165912,AT-HDVS-CAM-HDMI-WH,163293,"Video Cameras, Webcams",Hardware
165926,AV-CM22-VCU,163293,"Video Cameras, Webcams",Hardware
165940,AW-HE40SWEJ-W,163293,"Video Cameras, Webcams",Hardware
165954,AW-RP60,163293,"Video Cameras, Webcams",Hardware
165968,AW-UE100WEJ,163293,"Video Cameras, Webcams",Hardware
165982,AW-UE150WEJ8,163293,"Video Cameras, Webcams",Hardware
165996,AW-UE4B,163293,"Video Cameras, Webcams",Hardware
166010,AW-UE4K,163293,"Video Cameras, Webcams",Hardware
166024,AW-UE4W,163293,"Video Cameras, Webcams",Hardware
166038,AW-UE50KEJ,163293,"Video Cameras, Webcams",Hardware
166052,AW-UE50WEJ,163293,"Video Cameras, Webcams",Hardware
166066,BD-P200W,163293,"Video Cameras, Webcams",Hardware
166080,BD-PF120,163293,"Video Cameras, Webcams",Hardware
166094,BMD-CINSTUDMFT/G24PDF,163293,"Video Cameras, Webcams",Hardware
166108,CAM340+,163293,"Video Cameras, Webcams",Hardware
166122,CAM520,163293,"Video Cameras, Webcams",Hardware
166136,CAM520POE,163293,"Video Cameras, Webcams",Hardware
166150,CAM520PRO,163293,"Video Cameras, Webcams",Hardware
166164,CAM540,163293,"Video Cameras, Webcams",Hardware
166178,CAM550,163293,"Video Cameras, Webcams",Hardware
166192,CINOSXX/A,163293,"Video Cameras, Webcams",Hardware
166206,CV630-IPW,163293,"Video Cameras, Webcams",Hardware
166220,DC-GH5S,163293,"Video Cameras, Webcams",Hardware
166234,H6,163293,"Video Cameras, Webcams",Hardware
166248,HUDDLY-CANVAS,163293,"Video Cameras, Webcams",Hardware
166262,HUDDLY-GO-WFH-KIT,163293,"Video Cameras, Webcams",Hardware
166276,HUDDLY-IQ,163293,"Video Cameras, Webcams",Hardware
166290,HUDDLY-IQ-ROOM-KIT-MOUNT,163293,"Video Cameras, Webcams",Hardware
166304,LPL-00003,163293,"Video Cameras, Webcams",Hardware
166318,MVC640-C2-050,163293,"Video Cameras, Webcams",Hardware
166332,NC-20X60,163293,"Video Cameras, Webcams",Hardware
166346,PANACAST3-B,163293,"Video Cameras, Webcams",Hardware
166360,PT12X-SDI-WH-G2,163293,"Video Cameras, Webcams",Hardware
166374,PTC330N,163293,"Video Cameras, Webcams",Hardware
166388,PTZ-12x72,163293,"Video Cameras, Webcams",Hardware
166402,PTZ310,163293,"Video Cameras, Webcams",Hardware
166416,PTZ310N,163293,"Video Cameras, Webcams",Hardware
166430,PTZ310W,163293,"Video Cameras, Webcams",Hardware
166444,PTZ330N,163293,"Video Cameras, Webcams",Hardware
166458,Q-SYS-PTZ-12X72,163293,"Video Cameras, Webcams",Hardware
166472,Q-SYS-PTZ-20X60,163293,"Video Cameras, Webcams",Hardware
166486,RC5-CW4,163293,"Video Cameras, Webcams",Hardware
166500,SHARE2U,163293,"Video Cameras, Webcams",Hardware
166514,SP-8000-E3,163293,"Video Cameras, Webcams",Hardware
166528,SRG-X120WC,163293,"Video Cameras, Webcams",Hardware
166542,SRG-X400BC,163293,"Video Cameras, Webcams",Hardware
166556,SRG-X400WC,163293,"Video Cameras, Webcams",Hardware
166570,UVC30 CONTENTCAMKIT,163293,"Video Cameras, Webcams",Hardware
166584,UVC30-DESKTOP,163293,"Video Cameras, Webcams",Hardware
166598,UVC30-ROOM,163293,"Video Cameras, Webcams",Hardware
166612,UVC84,163293,"Video Cameras, Webcams",Hardware
166626,XF605,163293,"Video Cameras, Webcams",Hardware
166640,32040,163307,Lecture Capure Devices,Hardware
166654,32050,163307,Lecture Capure Devices,Hardware
166668,32060,163307,Lecture Capure Devices,Hardware
166682,32070,163307,Lecture Capure Devices,Hardware
166696,32090,163307,Lecture Capure Devices,Hardware
